query_id,query,category,note,hpvd_candidates,bm25_hits,dense_hits,after_rrf,bm25_top_id,dense_top_id,rrf_top_id,pmr_top_id,semantic_score,pmr_verdict,answer_probability,confidence_score,bm25_ce_agree,gated_count,total_after_gate,allow_count,pmr_latency_ms,hpvd_latency_ms,total_latency_ms,cross_encoder_used,reason_codes,top_candidate_price,top_candidate_brand,top_candidate_category
A01,Laptop X Pro,exact_name,exact product name match,10,20,20,10,laptop-04,laptop-15,laptop-00,laptop-00,0.5768,ALLOW,0.5092,0.4819,False,9,1,1,116.37,13585.23,13701.59,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;TENANT_MATCH;TRUSTED_SOURCE,25000000,TechPro,laptop
A02,Phone Z Ultra,exact_name,exact product name match,10,5,20,10,phone-16,phone-01,tablet-03,tablet-03,0.0414,ABSTAIN,0.0,0.0,False,10,0,0,75.94,2333.75,2409.69,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,7000000,TabZone,tablet
A03,Monitor 4K Gaming,exact_name,exact product name match,10,20,20,10,monitor-00,monitor-00,monitor-00,monitor-00,0.9996,ALLOW,0.685,0.6676,True,5,5,4,115.09,2690.66,2805.74,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,8000000,ViewPerfect,monitor
A04,Tablet Art,exact_name,exact product name match,10,10,20,10,tablet-02,tablet-06,tablet-02,tablet-00,0.8689,ALLOW,0.612,0.4861,False,8,2,1,181.92,2079.29,2261.21,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,12000000,DrawCo,tablet
A05,BudgetBook 15,exact_name,exact product model match,10,10,20,10,laptop-03,laptop-03,laptop-03,laptop-03,0.9996,ALLOW,0.6784,0.6235,True,7,3,3,87.26,6529.8,6617.06,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,5000000,EconoPC,laptop
B01,gaming laptop,category_spec,gaming category,10,20,20,10,laptop-20,laptop-06,laptop-20,laptop-06,0.9982,ALLOW,0.6851,0.6713,False,2,8,7,110.34,2059.48,2169.82,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,20000000,GigaByte,laptop
B02,budget laptop,category_spec,budget category,10,20,20,10,laptop-16,laptop-03,laptop-16,laptop-16,0.9978,ALLOW,0.6838,0.6636,True,6,4,4,104.41,3999.34,4103.75,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,3500000,EconoPC,laptop
B03,5G smartphone,category_spec,tech spec search,10,19,20,10,phone-11,phone-10,phone-11,phone-10,0.9997,ALLOW,0.6857,0.6724,False,7,3,3,125.84,1832.24,1958.09,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,9500000,SkyMobile,smartphone
B04,4K monitor,category_spec,resolution search,10,20,20,10,monitor-07,monitor-00,monitor-07,monitor-00,0.9984,ALLOW,0.6838,0.6625,False,6,4,4,95.22,2232.91,2328.13,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,8000000,ViewPerfect,monitor
B05,drawing tablet,category_spec,use-case search,10,10,20,10,tablet-02,tablet-02,tablet-02,tablet-02,0.9971,ALLOW,0.6832,0.6617,True,7,3,3,103.27,7784.0,7887.27,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,4000000,DrawCo,tablet
C01,laptop for college student,intent,student budget intent,10,20,20,10,acc-03,laptop-16,laptop-16,laptop-16,0.9871,ALLOW,0.6634,0.5529,False,7,3,3,119.34,2252.66,2372.01,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,3500000,EconoPC,laptop
C02,high performance computer for gaming,intent,gaming performance intent,10,20,20,10,acc-02,laptop-00,laptop-00,laptop-00,0.9993,ALLOW,0.6791,0.6288,False,7,3,2,110.05,1932.92,2042.97,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,25000000,TechPro,laptop
C03,professional monitor for photo editing,intent,creative pro intent,10,20,20,10,soft-05,monitor-01,monitor-01,soft-05,0.8625,ALLOW,0.6244,0.5834,True,9,1,1,99.58,1927.0,2026.58,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,4000000,DesignPro,software
C04,stylus pen tablet for digital artists,intent,artist tool intent,10,20,20,10,tablet-00,tablet-02,tablet-00,tablet-00,0.8661,ALLOW,0.6308,0.618,True,9,1,1,134.78,4106.71,4241.49,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,12000000,DrawCo,tablet
C05,smartphone with best camera quality,intent,camera-focused intent,10,20,20,10,phone-02,phone-18,phone-10,phone-00,0.7846,ALLOW,0.5968,0.5809,False,8,2,1,89.33,2323.68,2413.01,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;TENANT_MATCH;TRUSTED_SOURCE,18000000,PhoneCo,smartphone
D01,TechPro gaming laptop under 20 million,multi_attr,brand + price + category,10,20,20,10,laptop-20,laptop-20,laptop-20,laptop-00,0.9138,ALLOW,0.6523,0.6496,False,8,2,2,105.09,6352.79,6457.87,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,25000000,TechPro,laptop
D02,EconoPC budget laptop for office work,multi_attr,brand + use case,10,20,20,10,laptop-16,laptop-21,laptop-21,laptop-05,0.9978,ALLOW,0.688,0.6918,False,5,5,5,107.26,2250.03,2357.3,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,8500000,EconoPC,laptop
D03,PhoneCo 5G phone mobile gaming,multi_attr,brand + spec + use,10,20,20,10,phone-11,phone-09,phone-11,phone-11,0.0781,ABSTAIN,0.0,0.0,True,10,0,0,116.19,2660.2,2776.39,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,4000000,SkyMobile,smartphone
D04,ViewPerfect 4K high refresh gaming monitor,multi_attr,brand + spec + use,10,20,20,10,monitor-00,monitor-00,monitor-00,monitor-00,0.9999,ALLOW,0.691,0.7068,True,7,3,3,140.69,1322.14,1462.83,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,8000000,ViewPerfect,monitor
D05,DrawCo tablet for digital art drawing stylus,multi_attr,brand + category + feature,10,20,20,10,tablet-00,tablet-00,tablet-00,tablet-00,0.9991,ALLOW,0.6906,0.7059,True,7,3,3,110.52,2821.01,2931.52,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,12000000,DrawCo,tablet
E01,tesla electric car,no_match,out of domain ˇŞ vehicles,10,1,20,10,acc-15,phone-19,acc-15,acc-15,0.0,ABSTAIN,0.0,0.0,True,10,0,0,105.44,2158.86,2264.3,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,5000000,ComfortPlus,accessory
E02,organic food delivery service,no_match,out of domain ˇŞ food,10,1,20,10,soft-03,phone-19,soft-03,soft-03,0.0,ABSTAIN,0.0,0.0,True,10,0,0,93.52,2028.84,2122.37,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,300000,SecureTech,software
E03,javascript programming textbook,no_match,out of domain ˇŞ books,10,2,20,10,soft-00,soft-01,soft-00,soft-00,0.0,ABSTAIN,0.0,0.0,True,10,0,0,102.33,1862.31,1964.64,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,3500000,CodeSoft,software
E04,bicycle spare parts chain wheel,no_match,out of domain ˇŞ cycling,10,0,20,10,acc-03,acc-03,acc-03,acc-03,0.0,ABSTAIN,0.0,0.0,True,10,0,0,93.85,1626.83,1720.68,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,250000,ErgoGear,accessory
E05,zzzzzzzzzzzzzzzzzzzz,no_match,gibberish ˇŞ no real words,10,0,20,10,tablet-03,tablet-03,tablet-03,tablet-03,0.0,ABSTAIN,0.0,0.0,True,10,0,0,107.72,2879.71,2987.43,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,7000000,TabZone,tablet
F01,electronic device under 5 million rupiah,cross,budget general,10,4,20,10,soft-09,phone-03,soft-09,soft-09,0.0,ABSTAIN,0.0,0.0,True,10,0,0,111.86,1832.44,1944.3,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,1800000,CloudBase,software
F02,premium product above 20 million rupiah,cross,premium general,10,9,20,10,laptop-01,phone-04,phone-04,phone-04,0.0,ABSTAIN,0.0,0.0,False,10,0,0,92.29,1670.94,1763.23,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,16000000,MobiStar,smartphone
F03,gaming gear and accessories,cross,gaming ecosystem,10,20,20,10,acc-02,acc-02,acc-02,acc-02,0.0071,ABSTAIN,0.0,0.0,True,10,0,0,92.92,1400.19,1493.11,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,500000,ErgoGear,accessory
F04,portable device for travel,cross,portability search,10,20,20,10,monitor-14,monitor-14,monitor-14,monitor-14,0.9993,ALLOW,0.6783,0.6235,True,9,1,1,118.46,1141.04,1259.5,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,2500000,ViewPerfect,monitor
F05,available product with warranty,cross,availability filter,10,20,20,10,phone-18,phone-13,laptop-09,laptop-09,0.0,ABSTAIN,0.0,0.0,False,10,0,0,113.62,2237.5,2351.12,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,15000000,AlphaBook,laptop
